date,open,high,low,close,volume,average,barCount
2023-06-09 09:30:00-04:00,23.02,23.49,22.98,23.31,106135.0,23.212,32631
2023-06-09 10:00:00-04:00,23.31,23.44,22.52,22.81,107445.0,23.058,30272
2023-06-09 11:00:00-04:00,22.8,23.02,22.3,22.3,80114.0,22.658,21967
2023-06-09 12:00:00-04:00,22.29,22.44,22.08,22.42,46365.0,22.289,12186
2023-06-09 13:00:00-04:00,22.42,22.66,22.35,22.58,34995.0,22.501,8208
2023-06-09 14:00:00-04:00,22.59,22.67,22.3,22.46,32799.0,22.509,8099
2023-06-09 15:00:00-04:00,22.45,22.49,22.26,22.42,35098.0,22.368,8588
2023-06-12 09:30:00-04:00,23.21,23.58,23.13,23.47,95125.0,23.379,30279
2023-06-12 10:00:00-04:00,23.48,23.92,23.34,23.66,99610.0,23.64,28802
2023-06-12 11:00:00-04:00,23.66,24.12,23.61,24.07,61694.0,23.89,16190
2023-06-12 12:00:00-04:00,24.07,24.09,23.88,24.05,41801.0,23.985,11512
2023-06-12 13:00:00-04:00,24.05,24.22,23.92,24.21,32667.0,24.076,8419
2023-06-12 14:00:00-04:00,24.21,24.36,24.16,24.34,37077.0,24.268,9621
2023-06-12 15:00:00-04:00,24.34,24.68,24.26,24.61,92088.0,24.519,20933
2023-06-13 09:30:00-04:00,25.79,26.04,24.93,25.01,167519.0,25.476,57616
2023-06-13 10:00:00-04:00,25.02,25.65,24.72,25.62,144674.0,25.15,46342
2023-06-13 11:00:00-04:00,25.63,26.08,25.5,25.64,115561.0,25.776,30865
2023-06-13 12:00:00-04:00,25.64,25.94,25.48,25.93,56484.0,25.743,15371
2023-06-13 13:00:00-04:00,25.92,26.01,25.46,25.81,61236.0,25.764,18353
2023-06-13 14:00:00-04:00,25.8,25.85,24.92,25.53,75655.0,25.367,25925
2023-06-13 15:00:00-04:00,25.54,25.73,25.35,25.59,67900.0,25.541,19085
2023-06-14 09:30:00-04:00,25.32,25.75,25.04,25.54,69257.0,25.421,25576
2023-06-14 10:00:00-04:00,25.54,25.97,25.36,25.82,80790.0,25.715,24850
2023-06-14 11:00:00-04:00,25.82,26.32,25.7,26.05,94093.0,26.091,23842
2023-06-14 12:00:00-04:00,26.06,26.28,25.96,26.13,59791.0,26.108,14015
2023-06-14 13:00:00-04:00,26.13,26.13,25.68,25.85,51094.0,25.875,13548
2023-06-14 14:00:00-04:00,25.85,26.26,24.84,26.07,198853.0,25.583,62111
2023-06-14 15:00:00-04:00,26.08,26.71,25.87,26.69,204373.0,26.27,46982
2023-06-15 09:30:00-04:00,25.75,26.01,25.42,25.5,94486.0,25.744,28875
2023-06-15 10:00:00-04:00,25.5,26.02,25.45,25.84,121313.0,25.738,34485
2023-06-15 11:00:00-04:00,25.84,26.25,25.73,26.18,84382.0,25.992,20872
