symbol,strat,entry_id,side,qty,entry_time,entry,exit_time,exit,reason,R,pnl
MNQ,EMA,1,LONG,4,2025-04-08 08:30:00-05:00,19230.75,2025-04-08 11:15:00-05:00,18977.6089,STOP,253.1411,-2025.13
MNQ,EMA,2,LONG,4,2025-04-08 11:35:00-05:00,18867.0,2025-04-08 12:10:00-05:00,18656.5253,STOP,210.4747,-1683.8
MNQ,EMA,3,LONG,4,2025-04-08 12:25:00-05:00,18550.75,2025-04-08 12:35:00-05:00,18668.0,FLIP,203.5887,938.0
MNQ,EMA,4,SHORT,2,2025-04-08 12:35:00-05:00,18668.0,2025-04-08 14:15:00-05:00,18275.6032,TP2R,196.1984,1569.59
MNQ,EMA,4,SHORT,2,2025-04-08 12:35:00-05:00,18668.0,2025-04-08 15:00:00-05:00,18256.4484,STOP,196.1984,1646.21
MNQ,EMA,5,SHORT,4,2025-04-09 08:30:00-05:00,18321.25,2025-04-09 08:40:00-05:00,18475.9826,STOP,154.7326,-1237.86
MNQ,EMA,6,SHORT,4,2025-04-09 08:50:00-05:00,18444.0,2025-04-09 12:15:00-05:00,18608.7835,STOP,164.7835,-1318.27
MNQ,EMA,7,LONG,2,2025-04-09 12:20:00-05:00,19220.5,2025-04-09 12:25:00-05:00,19629.7118,TP2R,204.6059,1636.85
MNQ,EMA,7,LONG,2,2025-04-09 12:20:00-05:00,19220.5,2025-04-09 13:45:00-05:00,19991.8941,STOP,204.6059,3085.58
MNQ,EMA,8,LONG,4,2025-04-09 13:50:00-05:00,20089.5,2025-04-10 08:35:00-05:00,19861.5882,STOP,227.9118,-1823.29
MNQ,EMA,9,LONG,4,2025-04-10 08:40:00-05:00,19841.75,2025-04-10 09:25:00-05:00,19813.0,FLIP,212.9934,-230.0
MNQ,EMA,10,SHORT,2,2025-04-10 09:25:00-05:00,19813.0,2025-04-10 10:30:00-05:00,19498.3845,TP2R,157.3077,1258.46
MNQ,EMA,10,SHORT,2,2025-04-10 09:25:00-05:00,19813.0,2025-04-10 11:30:00-05:00,19214.5577,STOP,157.3077,2393.77
MNQ,EMA,11,SHORT,4,2025-04-10 11:35:00-05:00,19251.5,2025-04-10 12:00:00-05:00,19388.6386,STOP,137.1386,-1097.11
MNQ,EMA,12,SHORT,4,2025-04-10 12:25:00-05:00,19334.75,2025-04-10 12:55:00-05:00,19488.5991,STOP,153.8491,-1230.79
MNQ,EMA,13,SHORT,4,2025-04-10 13:00:00-05:00,19594.75,2025-04-10 14:15:00-05:00,19599.75,FLIP,182.9649,-40.0
MNQ,EMA,14,LONG,4,2025-04-10 14:15:00-05:00,19599.75,2025-04-11 08:30:00-05:00,19480.25,FLIP,193.5232,-956.0
MNQ,EMA,15,SHORT,4,2025-04-11 08:30:00-05:00,19480.25,2025-04-11 08:45:00-05:00,19681.5857,STOP,201.3357,-1610.69
MNQ,EMA,16,LONG,4,2025-04-11 09:00:00-05:00,19563.75,2025-04-11 09:30:00-05:00,19459.5,FLIP,204.3832,-834.0
MNQ,EMA,17,SHORT,4,2025-04-11 09:30:00-05:00,19459.5,2025-04-11 11:25:00-05:00,19662.7527,STOP,203.2527,-1626.02
MNQ,EMA,18,LONG,2,2025-04-11 11:30:00-05:00,19746.5,2025-04-14 08:30:00-05:00,20129.0699,TP2R,191.2849,1530.28
MNQ,EMA,18,LONG,2,2025-04-11 11:30:00-05:00,19746.5,2025-04-14 09:00:00-05:00,20197.9651,STOP,191.2849,1805.86
MNQ,EMA,19,LONG,4,2025-04-14 09:40:00-05:00,20296.25,2025-04-14 10:35:00-05:00,20087.9495,STOP,208.3005,-1666.4
MNQ,EMA,20,LONG,4,2025-04-14 10:55:00-05:00,19989.75,2025-04-16 09:00:00-05:00,19818.3017,STOP,171.4483,-1371.59
MNQ,EMA,21,SHORT,2,2025-04-16 09:15:00-05:00,19646.5,2025-04-16 13:50:00-05:00,19331.6117,TP2R,157.4441,1259.55
MNQ,EMA,21,SHORT,2,2025-04-16 09:15:00-05:00,19646.5,2025-04-16 14:50:00-05:00,19367.4441,STOP,157.4441,1116.22
MNQ,EMA,22,SHORT,2,2025-04-16 14:55:00-05:00,19450.75,2025-04-21 08:30:00-05:00,19251.0918,TP2R,99.8291,798.63
MNQ,EMA,22,SHORT,2,2025-04-16 14:55:00-05:00,19450.75,2025-04-21 14:20:00-05:00,18854.0791,STOP,99.8291,2386.68
MNQ,EMA,23,SHORT,4,2025-04-21 14:40:00-05:00,18913.75,2025-04-22 09:20:00-05:00,18987.2653,STOP,73.5153,-588.12
MNQ,EMA,24,SHORT,4,2025-04-22 09:35:00-05:00,19373.25,2025-04-22 09:45:00-05:00,19407.5,FLIP,102.9217,-274.0
MNQ,EMA,25,LONG,4,2025-04-22 09:45:00-05:00,19407.5,2025-04-22 13:00:00-05:00,19311.8227,STOP,95.6773,-765.42
MNQ,EMA,26,LONG,2,2025-04-22 15:00:00-05:00,19511.5,2025-04-23 08:30:00-05:00,19682.8164,TP2R,85.6582,685.27
MNQ,EMA,26,LONG,2,2025-04-22 15:00:00-05:00,19511.5,2025-04-23 10:00:00-05:00,20182.5918,STOP,85.6582,2684.37
MNQ,EMA,27,LONG,4,2025-04-23 10:20:00-05:00,20126.75,2025-04-23 10:45:00-05:00,19998.8205,STOP,127.9295,-1023.44
MNQ,EMA,28,LONG,2,2025-04-23 11:00:00-05:00,19971.0,2025-04-24 09:25:00-05:00,20209.4486,TP2R,119.2243,953.79
MNQ,EMA,28,LONG,2,2025-04-23 11:00:00-05:00,19971.0,2025-04-28 08:55:00-05:00,20614.7757,STOP,119.2243,2575.1
MNQ,EMA,29,LONG,4,2025-04-28 09:00:00-05:00,20594.0,2025-04-28 10:20:00-05:00,20532.9886,STOP,61.0114,-488.09
MNQ,EMA,30,LONG,4,2025-04-28 11:55:00-05:00,20473.0,2025-04-28 13:20:00-05:00,20541.25,FLIP,73.9849,546.0
MNQ,EMA,31,SHORT,4,2025-04-28 13:20:00-05:00,20541.25,2025-04-28 14:05:00-05:00,20612.6194,STOP,71.3694,-570.96
MNQ,EMA,32,SHORT,4,2025-04-28 14:40:00-05:00,20658.75,2025-04-29 09:55:00-05:00,20733.75,FLIP,83.462,-600.0
MNQ,EMA,33,LONG,4,2025-04-29 09:55:00-05:00,20733.75,2025-04-30 08:30:00-05:00,20652.1781,STOP,81.5719,-652.58
MNQ,EMA,34,SHORT,4,2025-04-30 08:45:00-05:00,20312.0,2025-04-30 09:30:00-05:00,20401.5683,STOP,89.5683,-716.55
MNQ,EMA,35,SHORT,4,2025-04-30 09:45:00-05:00,20486.5,2025-04-30 11:55:00-05:00,20567.9619,STOP,81.4619,-651.7
MNQ,EMA,36,SHORT,4,2025-04-30 13:05:00-05:00,20597.5,2025-04-30 13:10:00-05:00,20676.2694,STOP,78.7694,-630.16
MNQ,EMA,37,LONG,2,2025-04-30 13:15:00-05:00,20708.75,2025-04-30 15:00:00-05:00,20878.8306,TP2R,85.0403,680.32
MNQ,EMA,37,LONG,2,2025-04-30 13:15:00-05:00,20708.75,2025-05-01 08:55:00-05:00,21053.4597,STOP,85.0403,1378.84
MNQ,EMA,38,LONG,2,2025-05-01 09:10:00-05:00,21054.25,2025-05-01 09:55:00-05:00,21205.3267,TP2R,75.5384,604.31
MNQ,EMA,38,LONG,2,2025-05-01 09:10:00-05:00,21054.25,2025-05-01 10:55:00-05:00,21215.4616,STOP,75.5384,644.85
MNQ,EMA,39,LONG,4,2025-05-01 11:05:00-05:00,21140.5,2025-05-01 15:15:00-05:00,21077.4318,STOP,63.0682,-504.55
MNQ,EMA,40,LONG,2,2025-05-02 08:30:00-05:00,21261.25,2025-05-02 11:00:00-05:00,21394.0688,TP2R,66.4094,531.28
MNQ,EMA,40,LONG,2,2025-05-02 08:30:00-05:00,21261.25,2025-05-02 12:10:00-05:00,21391.0906,STOP,66.4094,519.36
MNQ,EMA,41,LONG,4,2025-05-02 12:20:00-05:00,21418.25,2025-05-05 08:35:00-05:00,21357.6283,STOP,60.6217,-484.97
MNQ,EMA,42,LONG,4,2025-05-05 09:00:00-05:00,21280.25,2025-05-05 11:00:00-05:00,21306.5,FLIP,65.6769,210.0
MNQ,EMA,43,SHORT,2,2025-05-05 11:00:00-05:00,21306.5,2025-05-06 08:30:00-05:00,21183.4487,TP2R,61.5257,492.21
MNQ,EMA,43,SHORT,2,2025-05-05 11:00:00-05:00,21306.5,2025-05-06 09:05:00-05:00,20986.7757,STOP,61.5257,1278.9
MNQ,EMA,44,SHORT,4,2025-05-06 09:20:00-05:00,21070.75,2025-05-06 11:10:00-05:00,21157.8499,STOP,87.0999,-696.8
MNQ,EMA,45,SHORT,4,2025-05-07 08:30:00-05:00,21056.5,2025-05-07 14:40:00-05:00,21136.6592,STOP,80.1592,-641.27
MNQ,EMA,46,SHORT,4,2025-05-07 14:45:00-05:00,21135.0,2025-05-08 08:30:00-05:00,21217.6874,STOP,82.6874,-661.5
MNQ,EMA,47,SHORT,4,2025-05-08 08:35:00-05:00,21330.75,2025-05-08 08:40:00-05:00,21312.5,FLIP,111.7019,146.0
MNQ,EMA,48,LONG,2,2025-05-08 08:40:00-05:00,21312.5,2025-05-08 11:45:00-05:00,21524.4463,TP2R,105.9731,847.79
MNQ,EMA,48,LONG,2,2025-05-08 08:40:00-05:00,21312.5,2025-05-08 15:20:00-05:00,21435.7769,STOP,105.9731,493.11
MNQ,EMA,49,LONG,4,2025-05-08 15:55:00-05:00,21352.5,2025-05-09 09:35:00-05:00,21310.25,FLIP,77.6606,-338.0
MNQ,EMA,50,SHORT,4,2025-05-09 09:35:00-05:00,21310.25,2025-05-12 08:30:00-05:00,21380.3773,STOP,70.1273,-561.02
MNQ,EMA,51,LONG,2,2025-05-12 08:40:00-05:00,22025.0,2025-05-13 08:50:00-05:00,22321.0679,TP2R,148.0339,1184.27
MNQ,EMA,51,LONG,2,2025-05-12 08:40:00-05:00,22025.0,2025-05-15 08:45:00-05:00,22550.9661,STOP,148.0339,2103.86
MNQ,EMA,52,LONG,4,2025-05-15 09:00:00-05:00,22569.25,2025-05-15 09:35:00-05:00,22551.75,FLIP,48.2444,-140.0
MNQ,EMA,53,SHORT,4,2025-05-15 09:35:00-05:00,22551.75,2025-05-15 10:20:00-05:00,22604.0878,STOP,52.3378,-418.7
MNQ,EMA,54,SHORT,4,2025-05-15 10:30:00-05:00,22673.75,2025-05-15 10:40:00-05:00,22713.25,FLIP,61.0531,-316.0
MNQ,EMA,55,LONG,4,2025-05-15 10:40:00-05:00,22713.25,2025-05-16 08:30:00-05:00,22732.5,FLIP,57.5761,154.0
MNQ,EMA,56,SHORT,4,2025-05-16 08:30:00-05:00,22732.5,2025-05-16 08:35:00-05:00,22716.75,FLIP,51.4501,126.0
MNQ,EMA,57,LONG,4,2025-05-16 08:35:00-05:00,22716.75,2025-05-16 09:40:00-05:00,22663.0285,STOP,53.7215,-429.77
MNQ,EMA,58,SHORT,4,2025-05-16 10:05:00-05:00,22690.75,2025-05-16 11:30:00-05:00,22723.5,FLIP,59.2744,-262.0
MNQ,EMA,59,LONG,4,2025-05-16 11:30:00-05:00,22723.5,2025-05-19 08:35:00-05:00,22668.6388,STOP,54.8612,-438.89
MNQ,EMA,60,LONG,4,2025-05-19 08:40:00-05:00,22609.25,2025-05-19 08:45:00-05:00,22660.25,FLIP,56.5212,408.0
MNQ,EMA,61,SHORT,4,2025-05-19 08:45:00-05:00,22660.25,2025-05-19 09:05:00-05:00,22714.3947,STOP,54.1447,-433.16
MNQ,EMA,62,SHORT,4,2025-05-19 09:15:00-05:00,22741.25,2025-05-19 10:45:00-05:00,22752.5,FLIP,53.5588,-90.0
MNQ,EMA,63,LONG,4,2025-05-19 10:45:00-05:00,22752.5,2025-05-20 08:45:00-05:00,22700.3844,STOP,52.1156,-416.93
MNQ,EMA,64,SHORT,2,2025-05-20 09:50:00-05:00,22726.25,2025-05-20 14:00:00-05:00,22624.6562,TP2R,50.7969,406.38
MNQ,EMA,64,SHORT,2,2025-05-20 09:50:00-05:00,22726.25,2025-05-20 14:30:00-05:00,22645.7969,STOP,50.7969,321.81
MNQ,EMA,65,SHORT,4,2025-05-20 14:45:00-05:00,22696.5,2025-05-21 10:10:00-05:00,22756.7184,STOP,60.2184,-481.75
MNQ,EMA,66,LONG,4,2025-05-21 10:20:00-05:00,22819.75,2025-05-21 12:15:00-05:00,22743.3299,STOP,76.4201,-611.36
MNQ,EMA,67,LONG,4,2025-05-21 12:20:00-05:00,22609.25,2025-05-21 12:25:00-05:00,22536.5,FLIP,56.528,-582.0
MNQ,EMA,68,SHORT,4,2025-05-21 12:25:00-05:00,22536.5,2025-05-21 12:40:00-05:00,22596.7581,STOP,60.2581,-482.06
MNQ,EMA,69,SHORT,2,2025-05-21 12:50:00-05:00,22551.25,2025-05-21 14:10:00-05:00,22399.121,TP2R,76.0645,608.52
MNQ,EMA,69,SHORT,2,2025-05-21 12:50:00-05:00,22551.25,2025-05-21 14:40:00-05:00,22459.3145,STOP,76.0645,367.74
MNQ,EMA,70,SHORT,4,2025-05-22 08:30:00-05:00,22505.25,2025-05-22 09:00:00-05:00,22571.0977,STOP,65.8477,-526.78
MNQ,EMA,71,SHORT,4,2025-05-22 09:05:00-05:00,22598.75,2025-05-22 14:05:00-05:00,22616.5,FLIP,69.9306,-142.0
MNQ,EMA,72,LONG,4,2025-05-22 14:05:00-05:00,22616.5,2025-05-22 14:50:00-05:00,22562.1267,STOP,54.3733,-434.99
MNQ,EMA,73,LONG,4,2025-05-22 15:00:00-05:00,22489.75,2025-05-22 15:45:00-05:00,22479.25,FLIP,52.3613,-84.0
MNQ,EMA,74,SHORT,2,2025-05-22 15:45:00-05:00,22479.25,2025-05-23 08:30:00-05:00,22368.6683,TP2R,55.2909,442.33
MNQ,EMA,74,SHORT,2,2025-05-22 15:45:00-05:00,22479.25,2025-05-23 09:10:00-05:00,22178.0409,STOP,55.2909,1204.84
MNQ,EMA,75,SHORT,4,2025-05-23 09:20:00-05:00,22222.5,2025-05-23 12:20:00-05:00,22301.9189,STOP,79.4189,-635.35
MNQ,EMA,76,SHORT,4,2025-05-23 12:25:00-05:00,22323.25,2025-05-23 12:50:00-05:00,22318.75,FLIP,60.8088,36.0
MNQ,EMA,77,LONG,4,2025-05-23 12:50:00-05:00,22318.75,2025-05-23 14:50:00-05:00,22263.7816,STOP,54.9684,-439.75
MNQ,EMA,78,SHORT,4,2025-05-23 14:55:00-05:00,22227.25,2025-05-27 08:35:00-05:00,22284.0883,STOP,56.8383,-454.71
MNQ,EMA,79,LONG,2,2025-05-27 08:50:00-05:00,22541.75,2025-05-27 10:25:00-05:00,22700.8652,TP2R,79.5576,636.46
MNQ,EMA,79,LONG,2,2025-05-27 08:50:00-05:00,22541.75,2025-05-28 08:55:00-05:00,22779.9424,STOP,79.5576,952.77
MNQ,EMA,80,LONG,4,2025-05-28 09:00:00-05:00,22777.0,2025-05-28 14:50:00-05:00,22735.1758,STOP,41.8242,-334.59
MNQ,EMA,81,LONG,4,2025-05-28 15:00:00-05:00,22661.25,2025-05-28 15:05:00-05:00,22687.25,FLIP,37.429,208.0
MNQ,EMA,82,SHORT,4,2025-05-28 15:05:00-05:00,22687.25,2025-05-28 15:20:00-05:00,22724.0948,STOP,36.8448,-294.76
MNQ,EMA,83,SHORT,4,2025-05-28 15:30:00-05:00,22770.75,2025-05-28 15:55:00-05:00,22817.0,FLIP,44.6957,-370.0
MNQ,EMA,84,LONG,2,2025-05-28 15:55:00-05:00,22817.0,2025-05-29 08:30:00-05:00,22908.0595,TP2R,45.5297,364.24
MNQ,EMA,84,LONG,2,2025-05-28 15:55:00-05:00,22817.0,2025-05-29 08:40:00-05:00,22862.5297,STOP,45.5297,182.12
MNQ,EMA,85,LONG,4,2025-05-29 08:45:00-05:00,22851.0,2025-05-29 08:50:00-05:00,22790.987,STOP,60.013,-480.1
MNQ,EMA,86,LONG,4,2025-05-29 08:55:00-05:00,22833.25,2025-05-29 09:05:00-05:00,22769.8446,STOP,63.4054,-507.24
MNQ,EMA,87,LONG,4,2025-05-29 09:10:00-05:00,22714.25,2025-05-29 09:20:00-05:00,22687.25,FLIP,63.9916,-216.0
MNQ,EMA,88,SHORT,4,2025-05-29 09:20:00-05:00,22687.25,2025-05-29 09:25:00-05:00,22751.8856,STOP,64.6356,-517.09
MNQ,EMA,89,SHORT,4,2025-05-29 09:30:00-05:00,22778.75,2025-05-29 10:55:00-05:00,22676.75,FLIP,62.763,816.0
MNQ,EMA,90,LONG,4,2025-05-29 10:55:00-05:00,22676.75,2025-05-29 11:00:00-05:00,22609.25,FLIP,50.0417,-540.0
MNQ,EMA,91,SHORT,4,2025-05-29 11:00:00-05:00,22609.25,2025-05-29 11:05:00-05:00,22670.4494,STOP,61.1994,-489.6
MNQ,EMA,92,SHORT,2,2025-05-29 11:20:00-05:00,22727.0,2025-05-30 08:50:00-05:00,22591.3207,TP2R,67.8397,542.72
MNQ,EMA,92,SHORT,2,2025-05-29 11:20:00-05:00,22727.0,2025-05-30 09:05:00-05:00,22629.3397,STOP,67.8397,390.64
MNQ,EMA,93,SHORT,2,2025-05-30 09:10:00-05:00,22645.75,2025-05-30 11:25:00-05:00,22538.5118,TP2R,53.6191,428.95
MNQ,EMA,93,SHORT,2,2025-05-30 09:10:00-05:00,22645.75,2025-05-30 11:40:00-05:00,22423.6191,STOP,53.6191,888.52
MNQ,EMA,94,SHORT,4,2025-05-30 11:50:00-05:00,22366.0,2025-05-30 12:05:00-05:00,22429.6989,STOP,63.6989,-509.59
MNQ,EMA,95,SHORT,4,2025-05-30 12:10:00-05:00,22476.25,2025-05-30 13:25:00-05:00,22547.653,STOP,71.403,-571.22
MNQ,EMA,96,SHORT,4,2025-05-30 14:00:00-05:00,22614.25,2025-05-30 14:20:00-05:00,22661.25,FLIP,66.6816,-376.0
MNQ,EMA,97,LONG,4,2025-05-30 14:20:00-05:00,22661.25,2025-06-02 09:00:00-05:00,22596.7669,STOP,64.4831,-515.86
MNQ,EMA,98,LONG,2,2025-06-02 09:05:00-05:00,22558.0,2025-06-02 09:35:00-05:00,22690.492,TP2R,66.246,529.97
MNQ,EMA,98,LONG,2,2025-06-02 09:05:00-05:00,22558.0,2025-06-03 13:10:00-05:00,23003.504,STOP,66.246,1782.02
MNQ,EMA,99,LONG,2,2025-06-03 13:20:00-05:00,22972.75,2025-06-04 10:05:00-05:00,23047.0234,TP2R,37.1367,297.09
MNQ,EMA,99,LONG,2,2025-06-03 13:20:00-05:00,22972.75,2025-06-04 11:30:00-05:00,23052.3633,STOP,37.1367,318.45
MNQ,EMA,100,LONG,2,2025-06-04 11:45:00-05:00,23052.75,2025-06-05 09:40:00-05:00,23139.4523,TP2R,43.3511,346.81
MNQ,EMA,100,LONG,2,2025-06-04 11:45:00-05:00,23052.75,2025-06-05 11:10:00-05:00,23210.3989,STOP,43.3511,630.6
MNQ,EMA,101,LONG,4,2025-06-05 11:15:00-05:00,23181.0,2025-06-05 11:35:00-05:00,23143.952,STOP,37.048,-296.38
MNQ,EMA,102,LONG,4,2025-06-05 11:40:00-05:00,23134.25,2025-06-05 11:45:00-05:00,23097.5492,STOP,36.7008,-293.61
MNQ,EMA,103,SHORT,4,2025-06-05 11:50:00-05:00,23031.75,2025-06-05 12:15:00-05:00,23074.8344,STOP,43.0844,-344.68
MNQ,EMA,104,SHORT,2,2025-06-05 12:20:00-05:00,23074.75,2025-06-05 13:15:00-05:00,22985.6564,TP2R,44.5468,356.37
MNQ,EMA,104,SHORT,2,2025-06-05 12:20:00-05:00,23074.75,2025-06-05 13:35:00-05:00,22991.7968,STOP,44.5468,331.81
MNQ,EMA,105,SHORT,2,2025-06-05 14:05:00-05:00,22989.0,2025-06-05 14:15:00-05:00,22870.9552,TP2R,59.0224,472.18
MNQ,EMA,105,SHORT,2,2025-06-05 14:05:00-05:00,22989.0,2025-06-05 14:25:00-05:00,22869.0224,STOP,59.0224,479.91
MNQ,EMA,106,SHORT,4,2025-06-05 14:30:00-05:00,22901.75,2025-06-06 08:30:00-05:00,22977.716,STOP,75.966,-607.73
MNQ,EMA,107,SHORT,4,2025-06-06 08:35:00-05:00,23137.25,2025-06-06 08:45:00-05:00,23158.5,FLIP,88.245,-170.0
MNQ,EMA,108,LONG,4,2025-06-06 08:45:00-05:00,23158.5,2025-06-06 11:55:00-05:00,23080.0082,STOP,78.4918,-627.93
MNQ,EMA,109,LONG,4,2025-06-06 13:10:00-05:00,23168.5,2025-06-06 15:00:00-05:00,23113.6686,STOP,54.8314,-438.65
MNQ,EMA,110,LONG,4,2025-06-06 15:15:00-05:00,23124.75,2025-06-10 10:50:00-05:00,23181.0,FLIP,59.9785,450.0
MNQ,EMA,111,SHORT,4,2025-06-10 10:50:00-05:00,23181.0,2025-06-10 11:05:00-05:00,23220.5,FLIP,39.2146,-316.0
MNQ,EMA,112,LONG,4,2025-06-10 11:05:00-05:00,23220.5,2025-06-10 13:00:00-05:00,23172.0241,STOP,48.4759,-387.81
MNQ,EMA,113,LONG,2,2025-06-10 13:05:00-05:00,23149.75,2025-06-10 13:55:00-05:00,23231.224,TP2R,40.737,325.9
MNQ,EMA,113,LONG,2,2025-06-10 13:05:00-05:00,23149.75,2025-06-10 14:20:00-05:00,23284.263,STOP,40.737,538.05
MNQ,EMA,114,LONG,4,2025-06-10 14:25:00-05:00,23287.0,2025-06-10 14:50:00-05:00,23242.5423,STOP,44.4577,-355.66
MNQ,EMA,115,LONG,2,2025-06-10 14:55:00-05:00,23272.0,2025-06-11 09:20:00-05:00,23352.3132,TP2R,40.1566,321.25
MNQ,EMA,115,LONG,2,2025-06-10 14:55:00-05:00,23272.0,2025-06-11 10:05:00-05:00,23342.3434,STOP,40.1566,281.37
MNQ,EMA,116,LONG,4,2025-06-11 10:25:00-05:00,23365.5,2025-06-11 10:45:00-05:00,23335.366,STOP,30.134,-241.07
MNQ,EMA,117,LONG,4,2025-06-11 10:55:00-05:00,23336.75,2025-06-11 11:05:00-05:00,23302.1383,STOP,34.6117,-276.89
MNQ,EMA,118,LONG,4,2025-06-11 11:15:00-05:00,23280.25,2025-06-11 11:20:00-05:00,23243.25,FLIP,35.056,-296.0
