strat,symbol,period,trades,legs,win%,pf,net$,avg_win$,avg_loss$,expectancy$,max_dd$,recovery_factor,2R_hits
Supertrend,MNQ,2025-03-24 -> 2026-09-18,1400,1541,31.6,1.33,130056,1195,-415,93,-30771,4.23,141
Supertrend,MES,2025-03-20 -> 2026-09-18,1396,1475,31.5,1.38,68913,573,-191,49,-10720,6.43,79
Supertrend,MGC,2025-01-09 -> 2026-09-18,1309,1479,32.7,1.61,196043,1204,-362,150,-13453,14.57,170
Supertrend,TOTAL,,4105,,,,395012,,,,,,
Supertrend + DEMA,MNQ,2025-03-24 -> 2026-09-18,1074,1189,32.3,1.29,95887,1235,-457,89,-18074,5.31,115
Supertrend + DEMA,MES,2025-03-20 -> 2026-09-18,1075,1138,33.0,1.30,46664,569,-216,43,-9059,5.15,63
Supertrend + DEMA,MGC,2025-01-09 -> 2026-09-18,972,1103,33.5,1.60,155875,1280,-405,160,-16349,9.53,131
Supertrend + DEMA,TOTAL,,3121,,,,298427,,,,,,
Supertrend + DEMA + regime,MNQ,2025-03-24 -> 2026-09-18,693,774,34.2,1.32,73149,1288,-509,106,-16433,4.45,81
Supertrend + DEMA + regime,MES,2025-03-20 -> 2026-09-18,642,684,36.0,1.35,36307,611,-255,57,-12869,2.82,42
Supertrend + DEMA + regime,MGC,2025-01-09 -> 2026-09-18,650,736,35.1,1.44,90588,1303,-489,139,-23837,3.80,86
Supertrend + DEMA + regime,TOTAL,,1985,,,,200043,,,,,,
EMA 9/21 cross,MNQ,2025-03-24 -> 2026-09-18,2637,3294,33.0,1.05,35303,787,-367,13,-24316,1.45,657
EMA 9/21 cross,MES,2025-03-20 -> 2026-09-18,2651,3331,33.0,1.07,20790,388,-179,8,-16139,1.29,680
EMA 9/21 cross,MGC,2025-01-09 -> 2026-09-18,2436,3055,33.7,1.29,150819,809,-318,62,-24523,6.15,619
EMA 9/21 cross,TOTAL,,7724,,,,206913,,,,,,
EMA 9/21 + DEMA + regime,MNQ,2025-03-24 -> 2026-09-18,1223,1550,33.1,1.02,6669,883,-429,5,-32337,0.21,327
EMA 9/21 + DEMA + regime,MES,2025-03-20 -> 2026-09-18,1191,1531,33.9,1.10,16611,444,-207,14,-12740,1.30,340
EMA 9/21 + DEMA + regime,MGC,2025-01-09 -> 2026-09-18,1158,1487,34.9,1.24,69550,896,-388,60,-23262,2.99,329
EMA 9/21 + DEMA + regime,TOTAL,,3572,,,,92831,,,,,,
