strat,symbol,period,trades,legs,win%,pf,net$,avg_win$,avg_loss$,expectancy$,max_dd$,recovery_factor,2R_hits
Supertrend + ADX,MNQ,2025-03-24 -> 2026-09-18,855,952,35.3,1.36,97675,1228,-494,114,-15845,6.16,97
Supertrend + ADX,MES,2025-03-20 -> 2026-09-18,810,855,35.8,1.42,48936,568,-223,60,-9339,5.24,45
Supertrend + ADX,MGC,2025-01-09 -> 2026-09-18,852,964,32.9,1.35,93608,1288,-467,110,-23267,4.02,112
Supertrend + ADX,TOTAL,,2517,,,,240219,,,,,,
Supertrend + DEMA + ADX,MNQ,2025-03-24 -> 2026-09-18,695,780,34.8,1.34,77867,1269,-506,112,-13768,5.66,85
Supertrend + DEMA + ADX,MES,2025-03-20 -> 2026-09-18,657,695,35.8,1.31,31544,568,-241,48,-7392,4.27,38
Supertrend + DEMA + ADX,MGC,2025-01-09 -> 2026-09-18,685,775,32.8,1.33,75333,1338,-490,110,-28870,2.61,90
Supertrend + DEMA + ADX,TOTAL,,2037,,,,184744,,,,,,
Supertrend + DEMA + regime + ADX,MNQ,2025-03-24 -> 2026-09-18,581,655,34.9,1.32,65502,1316,-533,113,-13438,4.87,74
Supertrend + DEMA + regime + ADX,MES,2025-03-20 -> 2026-09-18,518,551,38.2,1.38,31973,581,-260,62,-9188,3.48,33
Supertrend + DEMA + regime + ADX,MGC,2025-01-09 -> 2026-09-18,573,646,34.2,1.28,56929,1318,-534,99,-23623,2.41,73
Supertrend + DEMA + regime + ADX,TOTAL,,1672,,,,154405,,,,,,
EMA 9/21 cross + ADX,MNQ,2025-03-24 -> 2026-09-18,1387,1771,35.5,1.13,49765,877,-427,36,-22219,2.24,384
EMA 9/21 cross + ADX,MES,2025-03-20 -> 2026-09-18,1407,1798,35.3,1.10,17180,399,-198,12,-9140,1.88,391
EMA 9/21 cross + ADX,MGC,2025-01-09 -> 2026-09-18,1368,1729,34.4,1.18,62417,870,-387,46,-25730,2.43,361
EMA 9/21 cross + ADX,TOTAL,,4162,,,,129362,,,,,,
EMA 9/21 + DEMA + regime + ADX,MNQ,2025-03-24 -> 2026-09-18,956,1220,34.1,1.04,10530,928,-464,11,-23481,0.45,264
EMA 9/21 + DEMA + regime + ADX,MES,2025-03-20 -> 2026-09-18,960,1244,34.7,1.07,9577,433,-214,10,-8700,1.10,284
EMA 9/21 + DEMA + regime + ADX,MGC,2025-01-09 -> 2026-09-18,979,1251,34.3,1.18,48261,936,-414,49,-24934,1.94,272
EMA 9/21 + DEMA + regime + ADX,TOTAL,,2895,,,,68368,,,,,,
