strategy,symbol,period,trades_noadx,win%_noadx,pf_noadx,net_noadx,maxdd_noadx,rf_noadx,trades_adx,win%_adx,pf_adx,net_adx,maxdd_adx,rf_adx,net_delta,net_delta_pct
Supertrend,MNQ,2025-03-24 -> 2026-09-18,1400,31.6,1.33,130056,-30771,4.23,855,35.3,1.36,97675,-15845,6.16,-32381,-24.9
Supertrend,MES,2025-03-20 -> 2026-09-18,1396,31.5,1.38,68913,-10720,6.43,810,35.8,1.42,48936,-9339,5.24,-19978,-29.0
Supertrend,MGC,2025-01-09 -> 2026-09-18,1309,32.7,1.61,196043,-13453,14.57,852,32.9,1.35,93608,-23267,4.02,-102434,-52.3
Supertrend + DEMA,MNQ,2025-03-24 -> 2026-09-18,1074,32.3,1.29,95887,-18074,5.31,695,34.8,1.34,77867,-13768,5.66,-18020,-18.8
Supertrend + DEMA,MES,2025-03-20 -> 2026-09-18,1075,33.0,1.30,46664,-9059,5.15,657,35.8,1.31,31544,-7392,4.27,-15120,-32.4
Supertrend + DEMA,MGC,2025-01-09 -> 2026-09-18,972,33.5,1.60,155875,-16349,9.53,685,32.8,1.33,75333,-28870,2.61,-80542,-51.7
Supertrend + DEMA + regime,MNQ,2025-03-24 -> 2026-09-18,693,34.2,1.32,73149,-16433,4.45,581,34.9,1.32,65502,-13438,4.87,-7647,-10.5
Supertrend + DEMA + regime,MES,2025-03-20 -> 2026-09-18,642,36.0,1.35,36307,-12869,2.82,518,38.2,1.38,31973,-9188,3.48,-4333,-11.9
Supertrend + DEMA + regime,MGC,2025-01-09 -> 2026-09-18,650,35.1,1.44,90588,-23837,3.80,573,34.2,1.28,56929,-23623,2.41,-33659,-37.2
EMA 9/21 cross,MNQ,2025-03-24 -> 2026-09-18,2637,33.0,1.05,35303,-24316,1.45,1387,35.5,1.13,49765,-22219,2.24,14462,+41.0
EMA 9/21 cross,MES,2025-03-20 -> 2026-09-18,2651,33.0,1.07,20790,-16139,1.29,1407,35.3,1.10,17180,-9140,1.88,-3610,-17.4
EMA 9/21 cross,MGC,2025-01-09 -> 2026-09-18,2436,33.7,1.29,150819,-24523,6.15,1368,34.4,1.18,62417,-25730,2.43,-88402,-58.6
EMA 9/21 + DEMA + regime,MNQ,2025-03-24 -> 2026-09-18,1223,33.1,1.02,6669,-32337,0.21,956,34.1,1.04,10530,-23481,0.45,3861,+57.9
EMA 9/21 + DEMA + regime,MES,2025-03-20 -> 2026-09-18,1191,33.9,1.10,16611,-12740,1.30,960,34.7,1.07,9577,-8700,1.10,-7034,-42.3
EMA 9/21 + DEMA + regime,MGC,2025-01-09 -> 2026-09-18,1158,34.9,1.24,69550,-23262,2.99,979,34.3,1.18,48261,-24934,1.94,-21289,-30.6
