date,open,high,low,close,volume,average,barCount
2023-12-26 09:30:00-05:00,30.91,31.91,30.91,31.71,106598.0,31.497,34627
2023-12-26 10:00:00-05:00,31.71,31.9,31.65,31.69,47425.0,31.787,13622
2023-12-26 10:30:00-05:00,31.69,31.83,31.46,31.6,33226.0,31.649,8649
2023-12-26 11:00:00-05:00,31.6,31.75,31.53,31.73,20403.0,31.663,6164
2023-12-26 11:30:00-05:00,31.72,31.95,31.72,31.93,26072.0,31.857,7033
2023-12-26 12:00:00-05:00,31.92,31.99,31.83,31.91,19320.0,31.916,5446
2023-12-26 12:30:00-05:00,31.9,32.0,31.83,31.93,19576.0,31.923,5315
2023-12-26 13:00:00-05:00,31.92,32.07,31.91,32.04,17705.0,31.99,5074
2023-12-26 13:30:00-05:00,32.05,32.08,31.93,31.96,17685.0,31.994,4791
2023-12-26 14:00:00-05:00,31.96,32.09,31.95,32.04,19482.0,32.03,4927
2023-12-26 14:30:00-05:00,32.04,32.24,32.02,32.23,22438.0,32.136,5920
2023-12-26 15:00:00-05:00,32.24,32.53,32.22,32.45,37790.0,32.389,9090
2023-12-26 15:30:00-05:00,32.46,32.52,32.07,32.16,46713.0,32.33,10961
2023-12-27 09:30:00-05:00,32.56,32.74,32.27,32.55,59457.0,32.445,18861
2023-12-27 10:00:00-05:00,32.55,32.61,31.99,32.19,48479.0,32.246,13928
2023-12-27 10:30:00-05:00,32.19,32.19,31.87,32.01,39593.0,32.009,10990
2023-12-27 11:00:00-05:00,32.01,32.16,31.95,32.13,21917.0,32.072,6277
2023-12-27 11:30:00-05:00,32.13,32.26,32.12,32.17,21960.0,32.191,5603
2023-12-27 12:00:00-05:00,32.17,32.25,32.13,32.16,17930.0,32.19,4853
2023-12-27 12:30:00-05:00,32.16,32.17,31.95,32.07,21409.0,32.057,5219
2023-12-27 13:00:00-05:00,32.07,32.35,32.05,32.17,40092.0,32.221,11758
2023-12-27 13:30:00-05:00,32.18,32.28,32.14,32.15,21063.0,32.216,5667
2023-12-27 14:00:00-05:00,32.15,32.2,31.84,32.14,53441.0,31.995,15072
2023-12-27 14:30:00-05:00,32.14,32.15,32.01,32.06,18213.0,32.081,5774
2023-12-27 15:00:00-05:00,32.07,32.23,32.04,32.18,25254.0,32.151,6403
2023-12-27 15:30:00-05:00,32.17,32.38,32.12,32.36,40216.0,32.214,9399
2023-12-28 09:30:00-05:00,32.59,32.64,32.05,32.43,65486.0,32.285,20949
2023-12-28 10:00:00-05:00,32.43,32.61,32.31,32.6,35249.0,32.449,9470
2023-12-28 10:30:00-05:00,32.61,32.78,32.47,32.52,35686.0,32.63,9258
2023-12-28 11:00:00-05:00,32.52,32.54,32.37,32.4,23826.0,32.454,6437
2023-12-28 11:30:00-05:00,32.41,32.45,32.33,32.39,14307.0,32.394,4022
2023-12-28 12:00:00-05:00,32.39,32.51,32.38,32.45,13164.0,32.452,3557
2023-12-28 12:30:00-05:00,32.46,32.56,32.39,32.52,13168.0,32.492,3290
2023-12-28 13:00:00-05:00,32.52,32.52,32.23,32.46,20169.0,32.383,6004
2023-12-28 13:30:00-05:00,32.46,32.6,32.37,32.41,14853.0,32.481,4234
2023-12-28 14:00:00-05:00,32.41,32.49,32.38,32.43,9463.0,32.436,2894
2023-12-28 14:30:00-05:00,32.43,32.48,32.29,32.33,13625.0,32.383,3740
2023-12-28 15:00:00-05:00,32.33,32.34,32.17,32.27,22535.0,32.252,6054
2023-12-28 15:30:00-05:00,32.27,32.44,32.13,32.19,31223.0,32.301,7368
2023-12-29 09:30:00-05:00,32.18,32.35,32.02,32.21,46171.0,32.225,16875
2023-12-29 10:00:00-05:00,32.21,32.31,32.09,32.11,27119.0,32.194,7877
2023-12-29 10:30:00-05:00,32.11,32.13,31.25,31.43,71884.0,31.597,20605
2023-12-29 11:00:00-05:00,31.44,31.49,30.89,30.92,63868.0,31.137,18086
2023-12-29 11:30:00-05:00,30.92,31.42,30.89,31.37,37053.0,31.154,10317
2023-12-29 12:00:00-05:00,31.37,31.49,31.13,31.15,34777.0,31.292,11557
2023-12-29 12:30:00-05:00,31.15,31.53,31.13,31.51,26218.0,31.354,7994
2023-12-29 13:00:00-05:00,31.51,31.63,31.4,31.44,32896.0,31.52,9306
2023-12-29 13:30:00-05:00,31.43,31.81,31.4,31.68,25445.0,31.636,6740
2023-12-29 14:00:00-05:00,31.68,31.78,31.61,31.63,23240.0,31.684,6671
2023-12-29 14:30:00-05:00,31.63,31.78,31.59,31.74,18118.0,31.692,4921
2023-12-29 15:00:00-05:00,31.74,31.79,31.54,31.65,32460.0,31.652,7961
2023-12-29 15:30:00-05:00,31.65,31.66,31.25,31.4,56923.0,31.461,13669
2024-01-02 09:30:00-05:00,29.89,29.9,28.65,29.05,118001.0,29.171,44105
2024-01-02 10:00:00-05:00,29.04,29.32,28.66,28.73,70982.0,28.976,25352
2024-01-02 10:30:00-05:00,28.73,28.74,28.42,28.62,60087.0,28.574,18776
2024-01-02 11:00:00-05:00,28.62,29.0,28.61,28.95,47352.0,28.843,15219
2024-01-02 11:30:00-05:00,28.94,29.14,28.91,29.05,31517.0,29.007,10749
2024-01-02 12:00:00-05:00,29.06,29.1,28.7,28.71,31406.0,28.921,9443
2024-01-02 12:30:00-05:00,28.71,28.88,28.38,28.42,34839.0,28.626,9348
2024-01-02 13:00:00-05:00,28.41,28.64,28.25,28.61,32100.0,28.418,7533
2024-01-02 13:30:00-05:00,28.61,28.66,28.22,28.27,22543.0,28.477,5900
2024-01-02 14:00:00-05:00,28.27,28.33,28.0,28.25,36578.0,28.141,8991
2024-01-02 14:30:00-05:00,28.24,28.27,27.89,27.89,33073.0,28.066,8546
2024-01-02 15:00:00-05:00,27.9,27.93,27.25,27.41,63782.0,27.5,15455
2024-01-02 15:30:00-05:00,27.4,28.05,27.31,28.02,66312.0,27.646,16490
2024-01-03 09:30:00-05:00,26.59,27.05,26.18,26.65,101652.0,26.608,33416
2024-01-03 10:00:00-05:00,26.63,26.94,26.07,26.31,70341.0,26.464,21308
2024-01-03 10:30:00-05:00,26.3,26.38,25.88,26.32,58531.0,26.08,14553
2024-01-03 11:00:00-05:00,26.32,26.49,26.25,26.32,35303.0,26.381,10077
2024-01-03 11:30:00-05:00,26.33,26.47,26.07,26.14,24521.0,26.224,6852
2024-01-03 12:00:00-05:00,26.14,26.21,25.98,26.21,24165.0,26.09,6094
2024-01-03 12:30:00-05:00,26.2,26.47,26.19,26.41,20424.0,26.289,5337
2024-01-03 13:00:00-05:00,26.41,26.58,26.35,26.41,17466.0,26.456,5087
2024-01-03 13:30:00-05:00,26.41,26.51,26.27,26.38,13342.0,26.392,3361
2024-01-03 14:00:00-05:00,26.39,26.51,25.96,26.48,42659.0,26.226,14179
2024-01-03 14:30:00-05:00,26.48,26.64,26.27,26.39,28229.0,26.481,9142
2024-01-03 15:00:00-05:00,26.39,26.5,26.02,26.18,30635.0,26.182,8932
2024-01-03 15:30:00-05:00,26.18,26.44,26.05,26.21,51029.0,26.205,14393
2024-01-04 09:30:00-05:00,24.97,25.63,24.8,25.06,124482.0,25.258,43512
2024-01-04 10:00:00-05:00,25.05,25.99,24.93,25.8,87158.0,25.559,25850
2024-01-04 10:30:00-05:00,25.8,26.07,25.77,25.92,64239.0,25.911,19695
2024-01-04 11:00:00-05:00,25.92,26.33,25.8,26.23,54462.0,26.114,15614
2024-01-04 11:30:00-05:00,26.24,26.25,25.84,25.87,39543.0,26.076,10373
2024-01-04 12:00:00-05:00,25.88,25.93,25.67,25.89,28385.0,25.783,7425
2024-01-04 12:30:00-05:00,25.89,25.9,25.54,25.74,23638.0,25.714,6394
2024-01-04 13:00:00-05:00,25.75,25.82,25.67,25.8,16735.0,25.761,4923
2024-01-04 13:30:00-05:00,25.8,25.91,25.66,25.71,17471.0,25.803,5173
2024-01-04 14:00:00-05:00,25.71,25.79,25.51,25.55,21014.0,25.644,5947
2024-01-04 14:30:00-05:00,25.55,25.74,25.47,25.69,23433.0,25.604,6912
2024-01-04 15:00:00-05:00,25.7,26.1,25.69,25.93,37151.0,25.911,9468
2024-01-04 15:30:00-05:00,25.92,25.97,25.47,25.51,62600.0,25.695,15303
2024-01-05 09:30:00-05:00,25.65,26.05,25.4,25.73,118712.0,25.782,34386
2024-01-05 10:00:00-05:00,25.74,26.47,25.73,26.34,107162.0,26.268,29803
2024-01-05 10:30:00-05:00,26.35,26.6,26.18,26.45,65866.0,26.416,17931
2024-01-05 11:00:00-05:00,26.45,26.62,26.28,26.29,51377.0,26.43,13527
2024-01-05 11:30:00-05:00,26.29,26.4,26.14,26.28,39621.0,26.264,8366
2024-01-05 12:00:00-05:00,26.28,26.34,25.86,25.93,46827.0,26.078,11928
2024-01-05 12:30:00-05:00,25.92,26.05,25.87,25.93,26094.0,25.959,8549
2024-01-05 13:00:00-05:00,25.94,25.96,25.71,25.96,32839.0,25.824,8842
2024-01-05 13:30:00-05:00,25.96,26.18,25.94,25.95,25680.0,26.073,6494
2024-01-05 14:00:00-05:00,25.95,26.15,25.92,25.95,20268.0,26.019,5311
2024-01-05 14:30:00-05:00,25.94,26.05,25.63,25.68,25671.0,25.8,6528
2024-01-05 15:00:00-05:00,25.68,25.79,25.54,25.64,25982.0,25.667,6425
2024-01-05 15:30:00-05:00,25.63,25.98,25.58,25.94,47073.0,25.83,10085
2024-01-08 09:30:00-05:00,26.49,27.72,26.43,27.7,136583.0,27.071,41305
2024-01-08 10:00:00-05:00,27.69,27.91,27.47,27.78,78642.0,27.729,21989
2024-01-08 10:30:00-05:00,27.79,28.11,27.78,28.05,51330.0,27.968,13827
2024-01-08 11:00:00-05:00,28.05,28.11,27.85,27.93,43696.0,27.997,10706
2024-01-08 11:30:00-05:00,27.92,28.2,27.81,28.19,36504.0,27.977,9199
2024-01-08 12:00:00-05:00,28.19,28.29,28.1,28.23,33886.0,28.183,8291
2024-01-08 12:30:00-05:00,28.22,28.42,28.19,28.37,29751.0,28.33,6883
